Defective embedding notation 3                                       , weak Mutant Matrix                                                       , Y                       , Note
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1"                                   , "()(1,1)"                                                                , "1,3"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,0)1(6,5,0)1(7,6,5,0)2(8,7,6)1"   , "()(1,1)()(1,1)"                                                         , "1,3,1,3"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,1)1"                             , "()(1,1)(1)"                                                             , "1,3,2"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,1)1(6,5,1)1(7,6,5,1)2(8,7,6)1"   , "()(1,1)(1)(2,1,1)"                                                      , "1,3,2,5"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,1,0)1"                           , "()(1,1)(1)(2,1,1)(2,1)"                                                 , "1,3,2,5,4"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,1,0)1(6,5,1,0)2(7,6,5)1"         , "()(1,1)(1)(2,1,1)(2,1)(3,2,1,1)"                                        , "1,3,2,5,4,9"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,2)1"                             , "()(1,1)(1)(2,1,1)(2,1)(3,2,1,1)(3)"                                     , "1,3,2,5,4,9,5"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,2,1,0)2"                         , "()(1,1)(1)(2,1,1)(2,1)(3,2,1,1)(3,1)"                                   , "1,3,2,5,4,9,6"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,2,1,0)2(6,5,2)1"                 , "()(1,1)(1)(2,1,1)(2,1)(3,2,1,1)(3,2,1)(4,3,2,1,1)"                      , "1,3,2,5,4,9,8,17"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,3)1"                             , "()(1,1)(1)(2,1,1)(2,1)(3,2,1,1)(3,2,1)(4,3,2,1,1)(4)"                   , "1,3,2,5,4,9,8,17,9"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,3,2,1,0)3(6,*5,3,2,1,0)3(7,5,3)1", "()(1,1)(1)(2,1,1)(2,1)(3,2,1,1)(3,2,1)(4,3,2,1,1)(4,3,2,1)(5,4,3,2,1,1)", "1,3,2,5,4,9,8,17,16,33"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,3,2)1"                           , "()(1,1)(1,1)"                                                           , "1,3,3"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,4)1"                             , "()(1,1)(2)"                                                             , "1,3,4"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,4)1(6,3,2)1"                     , "()(1,1)(2)(1)(2,1,1)(3)(2,1,1)"                                         , "1,3,4,2,5,6,5"         , "这里没有提升"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,4)1(6,5,4)1"                     , "()(1,1)(2)(1)(2,1,1)(3)(4,1)"                                           , "1,3,4,2,5,6,8"
"(1,0)1(2,1,0)1(3,2,1,0)2(4,3,2)1(5,4,2,1,0)3"                       , "()(1,1)(2)(1)(2,1,1)(3,1)"                                              , "1,3,4,2,5,7"
""                                                                   , ""                                                                       , ""                      , "这里先redeclare以下，111会影响(5,2,1,0) type. 1111 会影响(9,3,2,1,0) type."
