Parented predecessor sequence 4,Main
"0,1","1,2"
"0,1,0,0,3","1,2,1,2"
"0,1,0,0,3,0,0,6","1,2,1,2,1,2"
"0,1,0,0,3,3","1,2,2"
"0,1,0,0,3,3,0,0,7","1,2,2,1,2"
"0,1,0,0,3,3,0,0,7,0,0,10","1,2,2,1,2,1,2"
"0,1,0,0,3,3,0,0,7,7","1,2,2,1,2,2"
"0,1,0,0,3,3,3","1,2,2,2"
"0,1,0,0,4","1,2,3"
"0,1,0,0,4,0,0,6","1,2,3,1,2"
"0,1,0,0,4,0,0,6,6","1,2,3,1,2,2"
"0,1,0,0,4,0,0,7","1,2,3,1,2,3"
"0,1,0,1","1,2,3,2"
"0,1,0,1,0,0,0,7","1,2,3,2,1,2,3"
"0,1,0,1,0,0,0,7,0,0,10","1,2,3,2,1,2,3,1,2,3"
"0,1,0,1,0,0,0,7,0,7","1,2,3,2,1,2,3,2"
"0,1,0,1,0,0,0,7,0,7,0,0,0,13,0,13","1,2,3,2,1,2,3,2,1,2,3,2"
"0,1,0,1,0,0,1","1,2,3,2,2"
"0,1,0,1,0,0,1,0,0,0,10,0,10,0,0,10","1,2,3,2,2,1,2,3,2,2"
"0,1,0,1,0,0,1,0,0,1","1,2,3,2,2,2"
"0,1,0,1,0,3","1,2,3,2,3"
"0,1,0,1,0,3,0,0,8","1,2,3,2,3,1,2,3"
"0,1,0,1,0,3,0,0,8,0,8","1,2,3,2,3,1,2,3,2"
"0,1,0,1,0,3,0,0,8,0,8,0,0,0,14,0,14","1,2,3,2,3,1,2,3,2,1,2,3,2"
"0,1,0,1,0,3,0,0,8,0,8,0,0,8","1,2,3,2,3,1,2,3,2,2"
"0,1,0,1,0,3,0,0,8,0,8,0,10","1,2,3,2,3,1,2,3,2,3"
"0,1,0,1,0,3,0,1","1,2,3,2,3,2"
"0,1,0,1,0,3,0,1,0,0,1","1,2,3,2,3,2,2"
"0,1,0,1,0,3,0,1,0,7","1,2,3,2,3,2,3"
"0,1,0,1,0,3,3","1,2,3,3"
"0,1,0,1,0,5","1,2,3,4"
"0,1,0,1,0,5,0,5","1,2,3,4,1,2,3,2"
"0,1,0,1,1","1,2,3,4,2"
"0,1,0,1,1,0,0,1","1,2,3,4,2,2"
"0,1,0,1,1,0,0,1,0,7","1,2,3,4,2,3"
"0,1,0,1,1,0,0,1,0,9","1,2,3,4,2,3,4"
"0,1,0,1,1,0,0,1,0,9,0,9,9","1,2,3,4,2,3,4,1,2,3,4,2"
"0,1,0,1,1,0,0,1,0,9,0,9,9,0,0,9","1,2,3,4,2,3,4,1,2,3,4,2,2"
"0,1,0,1,1,0,0,1,0,9,0,9,9,0,0,9,0,17","1,2,3,4,2,3,4,1,2,3,4,2,3,4"
"0,1,0,1,1,0,0,1,1","1,2,3,4,2,3,4,2"
"0,1,0,1,1,0,0,1,1,0,0,1,1","1,2,3,4,2,3,4,2,3,4,2"
"0,1,0,1,1,0,3","1,2,3,4,3"
"0,1,0,1,1,0,3,0,1","1,2,3,4,3,2"
"0,1,0,1,1,0,3,0,1,0,10","1,2,3,4,3,2,3,4"
"0,1,0,1,1,0,3,0,1,0,10,0,10,10","1,2,3,4,3,2,3,4,1,2,3,4,2"
"0,1,0,1,1,0,3,0,1,1","1,2,3,4,3,2,3,4,2"
"0,1,0,1,1,0,3,0,1,1,0,0,1","1,2,3,4,3,2,3,4,2,2"
"0,1,0,1,1,0,3,0,1,1,0,0,1,0,14","1,2,3,4,3,2,3,4,2,3,4"
"0,1,0,1,1,0,3,0,1,1,0,0,1,1","1,2,3,4,3,2,3,4,2,3,4,2"
"0,1,0,1,1,0,3,0,1,1,0,8","1,2,3,4,3,2,3,4,3"
"0,1,0,1,1,0,3,3","1,2,3,4,3,3"
"0,1,0,1,1,0,3,3,0,1,1,0,9,9","1,2,3,4,3,3,2,3,4,3,3"
"0,1,0,1,1,0,3,3,3","1,2,3,4,3,3,3"
"0,1,0,1,1,0,6","1,2,3,4,3,4"
"0,1,0,1,1,0,6,0,6","1,2,3,4,3,4,1,2,3,2"
"0,1,0,1,1,0,6,0,6,6","1,2,3,4,3,4,1,2,3,4,2"
"0,1,0,1,1,0,6,0,6,6,0,11","1,2,3,4,3,4,1,2,3,4,3,4"
"0,1,0,1,1,1","1,2,3,4,3,4,2"
"0,1,0,1,1,1,0,0,1","1,2,3,4,3,4,2,2"
"0,1,0,1,1,1,0,0,1,0,10","1,2,3,4,3,4,2,3,4"
"0,1,0,1,1,1,0,0,1,0,10,0,10","1,2,3,4,3,4,2,3,4,1,2,3,2"
"0,1,0,1,1,1,0,0,1,0,10,0,10,10,10","1,2,3,4,3,4,2,3,4,1,2,3,4,3,4,2"
"0,1,0,1,1,1,0,0,1,1","1,2,3,4,3,4,2,3,4,2"
"0,1,0,1,1,1,0,0,1,1,0,0,1,1","1,2,3,4,3,4,2,3,4,2,3,4,2"
"0,1,0,1,1,1,0,0,1,1,0,8","1,2,3,4,3,4,2,3,4,3"
"0,1,0,1,1,1,0,0,1,1,0,11","1,2,3,4,3,4,2,3,4,3,4"
"0,1,0,1,1,1,0,0,1,1,1","1,2,3,4,3,4,2,3,4,3,4,2"
"0,1,0,1,1,1,0,3","1,2,3,4,3,4,3"
"0,1,0,1,1,1,0,3,0,1,1,1,0,9","1,2,3,4,3,4,3,2,3,4,3,4,3"
"0,1,0,1,1,1,0,3,3","1,2,3,4,3,4,3,3"
"0,1,0,1,1,1,0,7","1,2,3,4,3,4,3,4"
"0,1,0,1,1,1,1","1,2,3,4,3,4,3,4,2"
"0,1,0,3","1,2,3,4,4"
"0,1,1","1,2,3,4,4,2"
"0,1,1,0,0,5","1,2,3,4,4,2,1,2,3"
"0,1,1,0,0,5,4","1,2,3,4,4,2,1,2,3,2"
"0,1,1,0,0,5,4,0,0,9,8","1,2,3,4,4,2,1,2,3,2,1,2,3,2"
"0,1,1,0,0,5,4,4","1,2,3,4,4,2,1,2,3,2,2"
"0,1,1,0,0,5,4,4,7","1,2,3,4,4,2,1,2,3,2,3"
"0,1,1,0,0,5,4,4,7,4","1,2,3,4,4,2,1,2,3,2,3,2"
"0,1,1,0,0,5,4,4,7,4,4,10","1,2,3,4,4,2,1,2,3,2,3,2,3"
"0,1,1,0,0,5,4,4,7,4,4,10,4,4,13","1,2,3,4,4,2,1,2,3,2,3,2,3,2,3"
"0,1,1,0,0,5,4,4,7,7","1,2,3,4,4,2,1,2,3,3"
"0,1,1,0,0,5,4,4,8","1,2,3,4,4,2,1,2,3,4"
"0,1,1,0,0,5,4,4,8,4","1,2,3,4,4,2,1,2,3,4,2"
"0,1,1,0,0,5,4,4,8,4,4,11","1,2,3,4,4,2,1,2,3,4,2,3,4"
"0,1,1,0,0,5,4,5","1,2,3,4,4,2,1,2,3,4,3"
"0,1,1,0,0,5,4,5,4,4,4,10","1,2,3,4,4,2,1,2,3,4,3,2,3"
"0,1,1,0,0,5,4,5,4,4,4,11","1,2,3,4,4,2,1,2,3,4,3,2,3,4"
"0,1,1,0,0,5,4,5,4,4,4,11,4,4,14","1,2,3,4,4,2,1,2,3,4,3,2,3,4,2,3,4"
"0,1,1,0,0,5,4,5,4,4,4,11,4,11","1,2,3,4,4,2,1,2,3,4,3,2,3,4,3"
"0,1,1,0,0,5,4,5,4,4,5","1,2,3,4,4,2,1,2,3,4,3,3"
"0,1,1,0,0,5,4,5,4,4,5,4,4,4,14","1,2,3,4,4,2,1,2,3,4,3,3,2,3,4"
"0,1,1,0,0,5,4,5,4,4,5,4,4,4,14,4,14","1,2,3,4,4,2,1,2,3,4,3,3,2,3,4,3"
"0,1,1,0,0,5,4,5,4,4,5,4,4,4,14,4,14,4,4,14","1,2,3,4,4,2,1,2,3,4,3,3,2,3,4,3,3"
"0,1,1,0,0,5,4,5,4,4,5,4,4,5","1,2,3,4,4,2,1,2,3,4,3,3,3"
"0,1,1,0,0,5,4,5,4,7","1,2,3,4,4,2,1,2,3,4,3,4"
