left is 1-Y,right is Transfinite BMS and replace ^ω to '
Y,Transfinite BMS
"1,3","(0)(1')"
"1,3,2","(0)(1')(1)"
"1,3,2,4","(0)(1')(1)(2,1)"
"1,3,2,4,8","(0)(1')(1)(2,1,1)"
"1,3,2,4,8,16","(0)(1')(1)(2,1,1,1)"
"1,3,2,5","(0)(1')(1)(2,1')"
"1,3,2,5,3","(0)(1')(1)(2,1')(2)"
"1,3,2,5,3,6","(0)(1')(1)(2,1')(2)(3,1')"
"1,3,2,5,4","(0)(1')(1,1)"
"1,3,2,5,4,9","(0)(1')(1,1)(2,2,1')"
"1,3,2,5,4,9,8","(0)(1')(1,1,1)"
"1,3,3","(0)(1')(1')"
"1,3,3,2,5,5,4","(0)(1')(1')(1,1)"
"1,3,3,3","(0)(1')(1')(1')"
"1,3,4","(0)(1')(2)"
"1,3,4,2,5,6,5","(0)(1')(2)(1')"
"1,3,4,2,5,6,5,6","(0)(1')(2)(1')(2)"
"1,3,4,2,5,6,6","(0)(1')(2)(2)"
"1,3,4,2,5,6,7","(0)(1')(2)(3)"
"1,3,4,2,5,6,8","(0)(1')(2)(3,1)"
"1,3,4,2,5,6,9","(0)(1')(2)(3,1')"
"1,3,4,2,5,6,9,10,13","(0)(1')(2)(3,1')(4)(5,1')"
"1,3,4,2,5,7","(0)(1')(2,1)"
"1,3,4,2,5,7,4,9,11","(0)(1')(2,1)(1,1)(2,2,1')(3,1)"
"1,3,4,2,5,7,4,9,11,8,17,19","(0)(1')(2,1)(1,1)(2,2,1')(3,1)(2,2)(3,3,1')(4,1)"
"1,3,4,2,5,7,4,9,11,9","(0)(1')(2,1)(1,1)(2,2,1')(3,1)(2,2,1)"
