Y,BOCF
"1,1","2"
"1,2","ψ(1)"
"1,2,1,2","ψ(1)2"
"1,2,2","ψ(2)"
"1,2,2,1,2,2","ψ(2)2"
"1,2,2,2","ψ(3)"
"1,2,3","ψ(ψ(1))"
"1,2,3,2,3","ψ(ψ(1)2)"
"1,2,3,3","ψ(ψ(2))"
"1,2,3,4","ψ(ψ(ψ(1)))"
"1,2,4","ψ(Ω)"
"1,2,4,2","ψ(Ω+1)"
"1,2,4,2,3","ψ(Ω+ψ(1))"
"1,2,4,2,4","ψ(Ω+ψ(Ω))"
"1,2,4,3","ψ(Ω+ψ(Ω+1))"
"1,2,4,3,3","ψ(Ω+ψ(Ω+2))"
"1,2,4,3,4","ψ(Ω+ψ(Ω+ψ(1)))"
"1,2,4,3,5","ψ(Ω+ψ(Ω+ψ(Ω)))"
"1,2,4,3,5,4,6","ψ(Ω+ψ(Ω+ψ(Ω+ψ(Ω))))"
"1,2,4,4","ψ(Ω2)"
"1,2,4,5","ψ(Ωψ(1))"
"1,2,4,5,7","ψ(Ωψ(Ω))"
"1,2,4,6","ψ(Ω^2)"
"1,2,4,6,4,6","ψ(Ω^2*2)"
"1,2,4,6,5","ψ(Ω^2*ψ(1))"
"1,2,4,6,6","ψ(Ω^3)"
"1,2,4,6,7","ψ(Ω^ψ(1))"
"1,2,4,6,8","ψ(Ω^Ω)"
"1,2,4,6,8,4,6,8","ψ(Ω^Ω *2)"
"1,2,4,6,8,6","ψ(Ω^(Ω+1))"
"1,2,4,6,8,6,8","ψ(Ω^(Ω2))"
"1,2,4,6,8,7","ψ(Ω^Ωψ(1))"
"1,2,4,6,8,8","ψ(Ω^Ω^2)"
"1,2,4,6,8,9","ψ(Ω^Ω^ψ(1))"
"1,2,4,6,8,10","ψ(Ω^Ω^Ω)"
"1,2,4,7","ψ(Ω_2)"
"1,2,4,7,4,7","ψ(Ω_2+ψ_1(Ω_2))"
"1,2,4,7,5","ψ(Ω_2+ψ_1(Ω_2+1))"
"1,2,4,7,6","ψ(Ω_2+ψ_1(Ω_2+Ω))"
"1,2,4,7,6,9","ψ(Ω_2+ψ_1(Ω_2+ψ_1(Ω_2)))"
"1,2,4,7,6,9","ψ(Ω_2+ψ_1(Ω_2+ψ_1(Ω_2)))"
"1,2,4,7,8","ψ(Ω_2*ψ(1))"
"1,2,4,7,9","ψ(Ω_2*Ω)"
"1,2,4,7,10","ψ(Ω_2^2)"
"1,2,4,7,11","ψ(Ω_3)"
"1,2,4,7,11,16","ψ(Ω_4)"
"1,2,4,8","ψ(Ω_ω)"
"1,2,4,8,7","ψ(Ω_ω+Ω_2)"
"1,2,4,8,7,12","ψ(Ω_ω+ψ_2(Ω_ω))"
"1,2,4,8,7,12,11,17","ψ(Ω_ω+ψ_3(Ω_ω))"
"1,2,4,8,8","ψ(Ω_ω*2)"
"1,2,4,8,10","ψ(Ω_ω*Ω)"
"1,2,4,8,10,7,12,14","ψ(Ω_ω*Ω+ψ_2(Ω_ω*Ω))"
"1,2,4,8,10,8","ψ(Ω_ω*(Ω+1))"
"1,2,4,8,10,8,10","ψ(Ω_ω*(Ω2))"
"1,2,4,8,10,10","ψ(Ω_ω*(Ω^2))"
"1,2,4,8,10,14","ψ(Ω_ω*ψ_1(Ω_ω))"
"1,2,4,8,11","ψ(Ω_ω*Ω_2)"
"1,2,4,8,11,7,12,15,12","ψ(Ω_ω*(Ω_2+1))"
"1,2,4,8,11,7,12,15,20","ψ(Ω_ω*ψ_2(Ω_3))"
"1,2,4,8,11,7,12,16","ψ(Ω_ω*Ω_3)"
"1,2,4,8,11,8","ψ(Ω_ω ^2)"
"1,2,4,8,11,11","ψ(Ω_ω ^2 *Ω_2)"
"1,2,4,8,11,12","ψ(Ω_ω ^ω)"
"1,2,4,8,11,13","ψ(Ω_ω ^Ω)"
"1,2,4,8,11,14","ψ(Ω_ω ^Ω_2)"
"1,2,4,8,11,14,11","ψ(Ω_ω ^Ω_ω)"
"1,2,4,8,11,15","ψ(Ω_(ω+1))"
"1,2,4,8,11,16","ψ(Ω_(ω2))"
"1,2,4,8,12","ψ(Ω_(ω^2))"
"1,2,4,8,12,14","ψ(Ω_Ω)"
"1,2,4,8,12,15","ψ(Ω_Ω_2)"
"1,2,4,8,12,15,9","ψ(I)"
"1,2,4,8,12,15,12","ψ(Iω)"
"1,2,4,8,12,16","ψ(I_ω)"
